dev-s1	gold=不同	en-zh=引起	ja-zh=同樣
dev-s35	gold=修	en-zh=瓮城	ja-zh=瓮城
dev-s350	gold=值	en-zh=萎縮	ja-zh=接任
dev-s352	gold=有	en-zh=認識	ja-zh=認識
dev-s354	gold=吊銷	en-zh=牌照	ja-zh=牌照
dev-s356	gold=教授	en-zh=教授	ja-zh=教授
dev-s357	gold=舉	en-zh=說	ja-zh=舉
dev-s358	gold=是	en-zh=說	ja-zh=說
dev-s36	gold=位	en-zh=位	ja-zh=位
dev-s360	gold=執政	en-zh=解散	ja-zh=解散
dev-s361	gold=輔佐	en-zh=精衛	ja-zh=精衛
dev-s362	gold=判處	en-zh=維持	ja-zh=槍決
dev-s363	gold=任職	en-zh=任	ja-zh=任職
dev-s365	gold=轉戰	en-zh=戰死	ja-zh=戰死
dev-s366	gold=上榜	en-zh=成建	ja-zh=成建
dev-s368	gold=經營	en-zh=成	ja-zh=思想
dev-s369	gold=有	en-zh=有	ja-zh=有
dev-s371	gold=擢升	en-zh=出任	ja-zh=擢升
dev-s373	gold=讓	en-zh=擊殺	ja-zh=擊殺
dev-s375	gold=保留	en-zh=保留	ja-zh=介面
dev-s376	gold=造成	en-zh=大開	ja-zh=但
dev-s379	gold=認為	en-zh=認為	ja-zh=認為
dev-s38	gold=遭到	en-zh=詬病	ja-zh=詬病
dev-s380	gold=移交	en-zh=由	ja-zh=改
dev-s381	gold=相反	en-zh=比起	ja-zh=說
dev-s382	gold=經營	en-zh=包括	ja-zh=包括
dev-s383	gold=昏死	en-zh=昏死	ja-zh=疼痛
dev-s384	gold=種類	en-zh=有	ja-zh=接
dev-s385	gold=劑	en-zh=說	ja-zh=劑
dev-s386	gold=咖啡	en-zh=減少	ja-zh=含量
dev-s388	gold=作	en-zh=作	ja-zh=作
dev-s389	gold=受到	en-zh=有	ja-zh=有
dev-s39	gold=到達	en-zh=支線	ja-zh=支線
dev-s392	gold=愛上	en-zh=分析	ja-zh=研究
dev-s393	gold=參與	en-zh=提出	ja-zh=提出
dev-s396	gold=成	en-zh=成	ja-zh=成
dev-s401	gold=哥哥	en-zh=哥哥	ja-zh=班納
dev-s402	gold=上陣	en-zh=取得	ja-zh=取得
dev-s403	gold=由	en-zh=由	ja-zh=而
dev-s405	gold=有	en-zh=有	ja-zh=至少
dev-s406	gold=專注	en-zh=起	ja-zh=起
dev-s407	gold=長	en-zh=米	ja-zh=米
dev-s408	gold=發生	en-zh=發生	ja-zh=發生
dev-s41	gold=恢復	en-zh=成	ja-zh=成
dev-s410	gold=是	en-zh=是	ja-zh=是
dev-s413	gold=有	en-zh=有	ja-zh=參加
dev-s414	gold=來	en-zh=喜好	ja-zh=結果
dev-s415	gold=是	en-zh=可能	ja-zh=企圖
dev-s416	gold=表示	en-zh=物	ja-zh=聚
dev-s419	gold=佔領	en-zh=殺	ja-zh=迫使
dev-s42	gold=達	en-zh=只有	ja-zh=達
dev-s420	gold=成	en-zh=成	ja-zh=成
dev-s421	gold=開始	en-zh=隨後	ja-zh=隨後
dev-s423	gold=沒有	en-zh=沒有	ja-zh=沒有
dev-s424	gold=沒有	en-zh=沒有	ja-zh=言
dev-s425	gold=出現	en-zh=出現	ja-zh=出現
dev-s428	gold=相對	en-zh=認識	ja-zh=視作
dev-s429	gold=體現	en-zh=投資	ja-zh=由
dev-s430	gold=驅逐	en-zh=擊敗	ja-zh=擊敗
dev-s431	gold=貴	en-zh=說	ja-zh=說
dev-s432	gold=變成	en-zh=施加	ja-zh=施加
dev-s433	gold=進貢	en-zh=進貢	ja-zh=進貢
dev-s437	gold=留	en-zh=皮克特	ja-zh=皮克特
dev-s438	gold=成員	en-zh=成員	ja-zh=成員
dev-s442	gold=接拍	en-zh=沒有	ja-zh=接拍
dev-s443	gold=視	en-zh=視	ja-zh=視
dev-s444	gold=光纖	en-zh=用	ja-zh=用
dev-s446	gold=目睹	en-zh=邀請	ja-zh=參觀
dev-s447	gold=稱	en-zh=稱	ja-zh=火箭
dev-s449	gold=由	en-zh=由	ja-zh=由
dev-s450	gold=擔任	en-zh=擔任	ja-zh=參加
dev-s451	gold=設	en-zh=設	ja-zh=Penthouse
dev-s452	gold=發表	en-zh=喜愛	ja-zh=研究
dev-s453	gold=是	en-zh=正傳	ja-zh=正傳
dev-s457	gold=員	en-zh=員	ja-zh=員
dev-s458	gold=有	en-zh=法	ja-zh=稱呼
dev-s46	gold=是	en-zh=由	ja-zh=作結
dev-s460	gold=表示	en-zh=連繫	ja-zh=特性
dev-s461	gold=認為	en-zh=認為	ja-zh=認為
dev-s462	gold=荒廢	en-zh=持有	ja-zh=持有
dev-s464	gold=併入	en-zh=併入	ja-zh=併入
dev-s465	gold=有	en-zh=有	ja-zh=有
dev-s466	gold=保留	en-zh=保留	ja-zh=保留
dev-s467	gold=有別	en-zh=有別	ja-zh=有別
dev-s468	gold=公里	en-zh=固始	ja-zh=固始
dev-s469	gold=達到	en-zh=達到	ja-zh=賽
dev-s47	gold=形成	en-zh=風暴	ja-zh=形成
dev-s472	gold=促進	en-zh=作	ja-zh=作
dev-s473	gold=人	en-zh=發起	ja-zh=人
dev-s474	gold=協助	en-zh=有	ja-zh=有
dev-s475	gold=進行	en-zh=進行	ja-zh=進行
dev-s478	gold=發生	en-zh=發生	ja-zh=戰役
dev-s479	gold=居住	en-zh=居住	ja-zh=居住
dev-s480	gold=研發	en-zh=研發	ja-zh=研發
dev-s482	gold=有	en-zh=由	ja-zh=由
dev-s483	gold=倒塌	en-zh=倒塌	ja-zh=倒塌
dev-s486	gold=參與	en-zh=會戰	ja-zh=參與
dev-s487	gold=企圖	en-zh=偷襲	ja-zh=企圖
dev-s489	gold=作戰	en-zh=下轄	ja-zh=下轄
dev-s49	gold=推上	en-zh=出現	ja-zh=使得
dev-s490	gold=分予	en-zh=經營	ja-zh=當時
dev-s491	gold=遷回	en-zh=立	ja-zh=。
dev-s492	gold=成	en-zh=失敗	ja-zh=失敗
dev-s493	gold=保留	en-zh=保留	ja-zh=保留
dev-s494	gold=有	en-zh=有	ja-zh=有
dev-s495	gold=有	en-zh=有	ja-zh=無
dev-s496	gold=有	en-zh=有	ja-zh=來源
dev-s498	gold=中心	en-zh=設有	ja-zh=設有
dev-s499	gold=恢復	en-zh=立	ja-zh=立
dev-s5	gold=提供	en-zh=認知	ja-zh=包含
dev-s50	gold=狂氣	en-zh=只有	ja-zh=只有
dev-s500	gold=飽受	en-zh=有	ja-zh=但
dev-s51	gold=接觸	en-zh=開始	ja-zh=得
dev-s52	gold=需要	en-zh=包括	ja-zh=裝置
dev-s53	gold=增加	en-zh=增加	ja-zh=較弱
dev-s55	gold=物	en-zh=位	ja-zh=物
dev-s57	gold=建成	en-zh=建成	ja-zh=建成
dev-s58	gold=興建	en-zh=用	ja-zh=此後
dev-s6	gold=撤下	en-zh=撤下	ja-zh=達
dev-s60	gold=給	en-zh=於是	ja-zh=於是
dev-s61	gold=站	en-zh=位	ja-zh=位
dev-s62	gold=擴充	en-zh=鑒	ja-zh=鑒
dev-s63	gold=有	en-zh=是	ja-zh=是
dev-s65	gold=是	en-zh=得	ja-zh=得
dev-s66	gold=確保	en-zh=線下	ja-zh=確保
dev-s67	gold=改造	en-zh=街道	ja-zh=街道
dev-s68	gold=分歧	en-zh=分歧	ja-zh=分歧
dev-s69	gold=說服	en-zh=說服	ja-zh=當年
dev-s7	gold=以	en-zh=出產	ja-zh=出產
dev-s74	gold=小調	en-zh=升	ja-zh=升
dev-s76	gold=查獲	en-zh=身敗名裂	ja-zh=身敗名裂
dev-s77	gold=種	en-zh=種	ja-zh=座椅
dev-s8	gold=定居	en-zh=定居	ja-zh=定居
dev-s83	gold=時刻	en-zh=開戰	ja-zh=開戰
dev-s85	gold=成	en-zh=成	ja-zh=打擊
dev-s87	gold=廢除	en-zh=法案	ja-zh=簽署
dev-s88	gold=居住	en-zh=居住	ja-zh=居住
dev-s9	gold=迎接	en-zh=貝勒	ja-zh=日
dev-s90	gold=包括	en-zh=包括	ja-zh=包括
dev-s91	gold=擁有	en-zh=擁有	ja-zh=擁有
dev-s94	gold=減少	en-zh=作	ja-zh=獨立
dev-s96	gold=函數	en-zh=帶有	ja-zh=保持
dev-s97	gold=下令	en-zh=面臨	ja-zh=面臨
